13,"[[16, 0, 0, 0], [16, 32, 0, 0], [8, 2, 0, 0], [4, 0, 0, 0]]",192,up,32,"[[32, 32, 0, 0], [8, 2, 0, 0], [4, 0, 4, 0], [0, 0, 0, 0]]",224
13,"[[32, 32, 0, 0], [8, 2, 0, 0], [4, 0, 4, 0], [0, 0, 0, 0]]",224,left,72,"[[64, 0, 0, 0], [8, 2, 0, 0], [8, 0, 0, 0], [0, 0, 0, 2]]",296
13,"[[64, 0, 0, 0], [8, 2, 0, 0], [8, 0, 0, 0], [0, 0, 0, 2]]",296,down,16,"[[0, 0, 0, 0], [0, 0, 0, 0], [64, 0, 2, 0], [16, 2, 0, 2]]",312
13,"[[0, 0, 0, 0], [0, 0, 0, 0], [64, 0, 2, 0], [16, 2, 0, 2]]",312,left,4,"[[0, 0, 0, 0], [0, 0, 0, 0], [64, 2, 0, 0], [16, 4, 0, 2]]",316
13,"[[0, 0, 0, 0], [0, 0, 0, 0], [64, 2, 0, 0], [16, 4, 0, 2]]",316,up,0,"[[64, 2, 0, 2], [16, 4, 0, 0], [0, 0, 0, 4], [0, 0, 0, 0]]",316
13,"[[64, 2, 0, 2], [16, 4, 0, 0], [0, 0, 0, 4], [0, 0, 0, 0]]",316,left,4,"[[64, 4, 0, 2], [16, 4, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0]]",320
13,"[[64, 4, 0, 2], [16, 4, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0]]",320,up,8,"[[64, 8, 0, 2], [16, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 4]]",328
13,"[[64, 8, 0, 2], [16, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 4]]",328,left,0,"[[64, 8, 2, 0], [16, 0, 4, 0], [4, 0, 0, 0], [4, 0, 0, 0]]",328
13,"[[64, 8, 2, 0], [16, 0, 4, 0], [4, 0, 0, 0], [4, 0, 0, 0]]",328,down,8,"[[0, 0, 0, 0], [64, 0, 0, 0], [16, 4, 2, 0], [8, 8, 4, 0]]",336
13,"[[0, 0, 0, 0], [64, 0, 0, 0], [16, 4, 2, 0], [8, 8, 4, 0]]",336,left,16,"[[0, 0, 0, 0], [64, 2, 0, 0], [16, 4, 2, 0], [16, 4, 0, 0]]",352
13,"[[0, 0, 0, 0], [64, 2, 0, 0], [16, 4, 2, 0], [16, 4, 0, 0]]",352,up,40,"[[64, 2, 2, 0], [32, 8, 0, 0], [0, 0, 4, 0], [0, 0, 0, 0]]",392
13,"[[64, 2, 2, 0], [32, 8, 0, 0], [0, 0, 4, 0], [0, 0, 0, 0]]",392,left,4,"[[64, 4, 0, 0], [32, 8, 0, 0], [4, 0, 0, 0], [0, 0, 0, 4]]",396
13,"[[64, 4, 0, 0], [32, 8, 0, 0], [4, 0, 0, 0], [0, 0, 0, 4]]",396,left,0,"[[64, 4, 0, 2], [32, 8, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0]]",396
13,"[[64, 4, 0, 2], [32, 8, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0]]",396,down,8,"[[0, 0, 0, 0], [64, 0, 0, 4], [32, 4, 0, 0], [8, 8, 0, 2]]",404
13,"[[0, 0, 0, 0], [64, 0, 0, 4], [32, 4, 0, 0], [8, 8, 0, 2]]",404,left,16,"[[0, 0, 0, 2], [64, 4, 0, 0], [32, 4, 0, 0], [16, 2, 0, 0]]",420
13,"[[0, 0, 0, 2], [64, 4, 0, 0], [32, 4, 0, 0], [16, 2, 0, 0]]",420,down,8,"[[0, 2, 0, 0], [64, 0, 0, 0], [32, 8, 0, 0], [16, 2, 0, 2]]",428
13,"[[0, 2, 0, 0], [64, 0, 0, 0], [32, 8, 0, 0], [16, 2, 0, 2]]",428,left,4,"[[2, 0, 0, 0], [64, 0, 0, 0], [32, 8, 2, 0], [16, 4, 0, 0]]",432
13,"[[2, 0, 0, 0], [64, 0, 0, 0], [32, 8, 2, 0], [16, 4, 0, 0]]",432,up,0,"[[2, 8, 2, 0], [64, 4, 0, 0], [32, 0, 0, 0], [16, 2, 0, 0]]",432
13,"[[2, 8, 2, 0], [64, 4, 0, 0], [32, 0, 0, 0], [16, 2, 0, 0]]",432,down,0,"[[2, 0, 0, 0], [64, 8, 0, 0], [32, 4, 0, 0], [16, 2, 2, 2]]",432
13,"[[2, 0, 0, 0], [64, 8, 0, 0], [32, 4, 0, 0], [16, 2, 2, 2]]",432,left,4,"[[2, 0, 0, 2], [64, 8, 0, 0], [32, 4, 0, 0], [16, 4, 2, 0]]",436
13,"[[2, 0, 0, 2], [64, 8, 0, 0], [32, 4, 0, 0], [16, 4, 2, 0]]",436,down,8,"[[2, 0, 0, 0], [64, 0, 0, 0], [32, 8, 0, 4], [16, 8, 2, 2]]",444
13,"[[2, 0, 0, 0], [64, 0, 0, 0], [32, 8, 0, 4], [16, 8, 2, 2]]",444,down,16,"[[2, 0, 0, 0], [64, 0, 4, 0], [32, 0, 0, 4], [16, 16, 2, 2]]",460
13,"[[2, 0, 0, 0], [64, 0, 4, 0], [32, 0, 0, 4], [16, 16, 2, 2]]",460,left,36,"[[2, 0, 0, 0], [64, 4, 4, 0], [32, 4, 0, 0], [32, 4, 0, 0]]",496
13,"[[2, 0, 0, 0], [64, 4, 4, 0], [32, 4, 0, 0], [32, 4, 0, 0]]",496,up,72,"[[2, 8, 4, 0], [64, 4, 0, 0], [64, 0, 4, 0], [0, 0, 0, 0]]",568
13,"[[2, 8, 4, 0], [64, 4, 0, 0], [64, 0, 4, 0], [0, 0, 0, 0]]",568,up,136,"[[2, 8, 8, 0], [128, 4, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0]]",704
13,"[[2, 8, 8, 0], [128, 4, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0]]",704,left,16,"[[2, 16, 0, 0], [128, 4, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]",720
13,"[[2, 16, 0, 0], [128, 4, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]",720,right,4,"[[0, 0, 2, 16], [0, 0, 128, 4], [0, 4, 0, 4], [0, 0, 0, 0]]",724
13,"[[0, 0, 2, 16], [0, 0, 128, 4], [0, 4, 0, 4], [0, 0, 0, 0]]",724,left,8,"[[2, 16, 2, 0], [128, 4, 0, 0], [8, 0, 0, 0], [0, 0, 0, 0]]",732
13,"[[2, 16, 2, 0], [128, 4, 0, 0], [8, 0, 0, 0], [0, 0, 0, 0]]",732,up,0,"[[2, 16, 2, 2], [128, 4, 0, 0], [8, 0, 0, 0], [0, 0, 0, 0]]",732
13,"[[2, 16, 2, 2], [128, 4, 0, 0], [8, 0, 0, 0], [0, 0, 0, 0]]",732,right,4,"[[0, 2, 16, 4], [2, 0, 128, 4], [0, 0, 0, 8], [0, 0, 0, 0]]",736
