id, state, cur_score, action, reward, next_state, next_score
5,"[[16, 64, 2, 0], [4, 0, 4, 0], [0, 0, 0, 4], [0, 0, 0, 0]]",67996,left,8,"[[16, 64, 2, 0], [8, 0, 0, 0], [4, 0, 4, 0], [0, 0, 0, 0]]",68004
5,"[[16, 64, 2, 0], [8, 0, 0, 0], [4, 0, 4, 0], [0, 0, 0, 0]]",68004,left,8,"[[16, 64, 2, 0], [8, 0, 0, 0], [8, 2, 0, 0], [0, 0, 0, 0]]",68012
5,"[[16, 64, 2, 0], [8, 0, 0, 0], [8, 2, 0, 0], [0, 0, 0, 0]]",68012,down,16,"[[0, 0, 0, 0], [0, 0, 4, 0], [16, 64, 0, 0], [16, 2, 2, 0]]",68028
5,"[[0, 0, 0, 0], [0, 0, 4, 0], [16, 64, 0, 0], [16, 2, 2, 0]]",68028,up,32,"[[32, 64, 4, 2], [0, 2, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",68060
5,"[[32, 64, 4, 2], [0, 2, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",68060,left,4,"[[32, 64, 4, 2], [4, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",68064
5,"[[32, 64, 4, 2], [4, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",68064,right,8,"[[32, 64, 4, 2], [0, 0, 0, 8], [0, 2, 0, 0], [0, 0, 0, 0]]",68072
5,"[[32, 64, 4, 2], [0, 0, 0, 8], [0, 2, 0, 0], [0, 0, 0, 0]]",68072,left,0,"[[32, 64, 4, 2], [8, 4, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",68072
5,"[[32, 64, 4, 2], [8, 4, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",68072,down,0,"[[0, 0, 0, 0], [32, 0, 0, 0], [8, 64, 4, 0], [2, 4, 4, 2]]",68072
5,"[[0, 0, 0, 0], [32, 0, 0, 0], [8, 64, 4, 0], [2, 4, 4, 2]]",68072,up,8,"[[32, 64, 8, 2], [8, 4, 0, 0], [2, 0, 0, 0], [0, 4, 0, 0]]",68080
5,"[[32, 64, 8, 2], [8, 4, 0, 0], [2, 0, 0, 0], [0, 4, 0, 0]]",68080,up,8,"[[32, 64, 8, 2], [8, 8, 2, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",68088
5,"[[32, 64, 8, 2], [8, 8, 2, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",68088,left,16,"[[32, 64, 8, 2], [16, 2, 0, 0], [2, 0, 0, 0], [0, 0, 0, 4]]",68104
5,"[[32, 64, 8, 2], [16, 2, 0, 0], [2, 0, 0, 0], [0, 0, 0, 4]]",68104,up,0,"[[32, 64, 8, 2], [16, 2, 0, 4], [2, 0, 0, 0], [0, 0, 2, 0]]",68104
5,"[[32, 64, 8, 2], [16, 2, 0, 4], [2, 0, 0, 0], [0, 0, 2, 0]]",68104,left,0,"[[32, 64, 8, 2], [16, 2, 4, 0], [2, 0, 0, 0], [2, 0, 0, 4]]",68104
5,"[[32, 64, 8, 2], [16, 2, 4, 0], [2, 0, 0, 0], [2, 0, 0, 4]]",68104,up,4,"[[32, 64, 8, 2], [16, 2, 4, 4], [4, 0, 0, 0], [4, 0, 0, 0]]",68108
5,"[[32, 64, 8, 2], [16, 2, 4, 4], [4, 0, 0, 0], [4, 0, 0, 0]]",68108,left,8,"[[32, 64, 8, 2], [16, 2, 8, 0], [4, 0, 0, 0], [4, 0, 0, 4]]",68116
5,"[[32, 64, 8, 2], [16, 2, 8, 0], [4, 0, 0, 0], [4, 0, 0, 4]]",68116,up,24,"[[32, 64, 16, 2], [16, 2, 2, 4], [8, 0, 0, 0], [0, 0, 0, 0]]",68140
5,"[[32, 64, 16, 2], [16, 2, 2, 4], [8, 0, 0, 0], [0, 0, 0, 0]]",68140,right,4,"[[32, 64, 16, 2], [0, 16, 4, 4], [0, 4, 0, 8], [0, 0, 0, 0]]",68144
